Institute,Betweenness Centrality,Closeness Centrality,Degree Centrality,Effective Size,Efficiency,Average Citation,To Large,To Frontier,To University,computing power,data foundation,as Frontier
Google,0.329253099,0.636860987,0.429939445,3014.85719,0.987506449,6.81920904,0.030554845,0.016491946,0.563155203,1,1,0
Microsoft Research Lab _ AI,0.034413892,0.524291199,0.092944656,633.1333333,0.959292929,6.809659091,0.120094192,0.016483516,0.521193093,1,1,0
IBM Research,0.005959229,0.510056026,0.039994367,254.4788732,0.896052371,5.144444444,0.193205945,0.012738854,0.456475584,1,1,0
NVIDIA Research,0.129463094,0.551619669,0.187438389,1306.930879,0.981916513,5.696586599,0.034122842,0.013247692,0.513448414,1,1,0
Intel AI lab,0.005317965,0.504619102,0.024503591,137.4482759,0.78993262,8.785714286,0.114035088,0.01754386,0.429824561,1,1,0
Amazon Web Services AI Lab,0.210884471,0.587247767,0.30122518,2047.019635,0.956998427,3.028999065,0.038440567,0.002726281,0.51608506,1,1,0
Facebook AI Research (FAIR),0.101260257,0.579342417,0.274045909,1700.736896,0.873965517,4.703851262,0.036842105,0.006736842,0.567368421,1,1,0
Allen Institute for AI,0.004581281,0.498525695,0.024081115,145.0701754,0.848363599,1.022727273,0.115281501,0.008042895,0.627345845,1,1,1
Anthropic,0.000284617,0.334400753,0.000704126,4.2,0.84,0.5,0,0.333333333,0.333333333,0,0.33,1
OpenAI,0.000595015,0.450542478,0.006337136,22.95555556,0.510123457,0.692307692,0.112903226,0.080645161,0.338709677,0,0.33,1
DeepMind Lab,0.011043559,0.510716341,0.043796648,283.4308682,0.911353274,8.202531646,0.172011662,0.018950437,0.508746356,1,1,1
Vector Institute,0.033887797,0.524020368,0.173496691,891.3425325,0.723492315,8.317073171,0.020138263,0.00270514,0.587616471,1,0.33,1
